Frame,Pose
199,ForehandLift
200,BackhandLift
201,BackhandLift
202,BackhandLift
203,BackhandLift
204,BackhandLift
205,BackhandLift
206,BackhandLift
207,BackhandLift
208,BackhandLift
209,BackhandLift
210,BackhandLift
211,BackhandLift
212,BackhandLift
213,BackhandLift
214,BackhandLift
215,BackhandLift
216,BackhandLift
217,BackhandLift
218,BackhandLift
219,BackhandLift
220,BackhandLift
220,BackhandLift
221,BackhandLift
221,BackhandLift
222,BackhandLift
223,BackhandLift
224,BackhandLift
225,BackhandLift
226,BackhandLift
227,BackhandLift
230,BackhandLift
231,BackhandLift
237,BackhandLift
238,BackhandLift
239,BackhandLift
240,BackhandLift
241,BackhandLift
242,BackhandLift
243,BackhandLift
244,BackhandLift
245,BackhandLift
246,ForehandLift
247,ForehandLift
248,ForehandLift
261,ForehandLift
262,ForehandLift
263,ForehandLift
264,ForehandLift
265,ForehandLift
266,ForehandLift
267,ForehandLift
268,ForehandLift
269,ForehandLift
270,ForehandLift
271,ForehandLift
272,ForehandLift
273,ForehandLift
274,ForehandLift
275,ForehandLift
276,ForehandLift
277,ForehandLift
278,ForehandLift
279,ForehandLift
280,ForehandLift
281,ForehandLift
282,ForehandLift
283,ForehandLift
284,BackhandLift
285,BackhandLift
286,BackhandLift
287,BackhandLift
288,BackhandLift
289,BackhandLift
292,BackhandLift
293,BackhandLift
294,BackhandLift
295,BackhandLift
296,BackhandLift
297,BackhandLift
298,BackhandLift
299,BackhandLift
300,BackhandLift
301,BackhandLift
302,BackhandLift
303,BackhandLift
304,BackhandLift
334,Smash
334,Smash
334,Smash
335,Smash
335,Smash
335,Smash
336,Smash
336,Smash
336,Smash
