Frame,Pose
1,BackhandLift
2,BackhandLift
3,BackhandLift
4,BackhandLift
5,BackhandLift
6,BackhandLift
7,ForehandLift
8,ForehandLift
9,ForehandLift
10,BackhandLift
11,BackhandLift
12,ForehandLift
13,ForehandLift
14,ForehandLift
15,ForehandLift
16,ForehandLift
17,ForehandLift
18,ForehandLift
19,ForehandLift
20,ForehandLift
21,ForehandLift
22,ForehandLift
23,ForehandLift
24,ForehandLift
25,ForehandLift
26,ForehandLift
27,BackhandLift
28,BackhandLift
29,ForehandLift
30,ForehandLift
31,ForehandLift
32,ForehandLift
33,ForehandLift
34,ForehandLift
35,ForehandLift
36,ForehandLift
37,ForehandLift
38,ForehandLift
39,ForehandLift
40,ForehandLift
41,ForehandLift
42,ForehandLift
43,ForehandLift
44,ForehandLift
45,ForehandLift
46,ForehandLift
47,ForehandLift
48,ForehandLift
49,ForehandLift
50,ForehandLift
51,ForehandLift
52,ForehandLift
53,ForehandLift
54,ForehandLift
55,ForehandLift
56,ForehandLift
57,ForehandLift
58,ForehandLift
59,ForehandLift
60,ForehandLift
61,ForehandLift
62,ForehandLift
63,ForehandLift
64,ForehandLift
65,ForehandLift
66,ForehandLift
67,ForehandLift
68,ForehandLift
69,ForehandLift
70,ForehandLift
71,ForehandLift
72,ForehandLift
73,ForehandLift
74,ForehandLift
75,BackhandLift
76,BackhandLift
77,ForehandLift
78,ForehandLift
78,BackhandLift
79,ForehandLift
79,BackhandLift
80,BackhandLift
80,ForehandLift
81,BackhandLift
81,ForehandLift
82,BackhandLift
83,BackhandLift
84,BackhandLift
85,BackhandLift
86,BackhandLift
87,BackhandLift
88,BackhandLift
89,BackhandLift
90,BackhandLift
91,BackhandLift
92,BackhandLift
93,BackhandLift
94,BackhandLift
95,BackhandLift
96,BackhandLift
97,BackhandLift
98,BackhandLift
99,BackhandLift
100,BackhandLift
101,BackhandLift
102,BackhandLift
103,BackhandLift
104,BackhandLift
105,BackhandLift
106,BackhandLift
107,BackhandLift
108,BackhandLift
109,BackhandLift
110,BackhandLift
111,BackhandLift
112,BackhandLift
113,BackhandLift
114,BackhandLift
115,BackhandLift
116,BackhandLift
117,ForehandLift
118,BackhandLift
119,BackhandLift
120,ForehandLift
121,ForehandLift
122,ForehandLift
122,BackhandLift
123,ForehandLift
123,BackhandLift
124,BackhandLift
124,ForehandLift
125,ForehandLift
126,ForehandLift
127,ForehandLift
128,ForehandLift
129,ForehandLift
130,ForehandLift
131,ForehandLift
132,ForehandLift
133,ForehandLift
134,ForehandLift
135,ForehandLift
136,ForehandLift
137,ForehandLift
138,ForehandLift
138,BackhandLift
139,ForehandLift
139,BackhandLift
140,BackhandLift
140,ForehandLift
141,BackhandLift
141,ForehandLift
142,ForehandLift
143,ForehandLift
144,ForehandLift
145,ForehandLift
146,ForehandLift
147,ForehandLift
148,ForehandLift
149,ForehandLift
150,ForehandLift
151,ForehandLift
152,ForehandLift
153,ForehandLift
154,ForehandLift
155,ForehandLift
156,ForehandLift
157,ForehandLift
158,ForehandLift
159,ForehandLift
160,ForehandLift
161,ForehandLift
162,ForehandLift
163,ForehandLift
164,ForehandLift
165,ForehandLift
166,ForehandLift
167,ForehandLift
168,ForehandLift
169,ForehandLift
170,ForehandLift
170,BackhandLift
171,ForehandLift
171,BackhandLift
172,BackhandLift
173,BackhandLift
174,BackhandLift
175,BackhandLift
176,BackhandLift
177,BackhandLift
178,BackhandLift
179,BackhandLift
180,BackhandLift
181,BackhandLift
182,BackhandLift
182,BackhandLift
183,BackhandLift
183,BackhandLift
184,BackhandLift
184,BackhandLift
185,BackhandLift
185,BackhandLift
186,BackhandLift
186,BackhandLift
187,BackhandLift
188,BackhandLift
189,BackhandLift
190,BackhandLift
190,BackhandLift
191,BackhandLift
191,BackhandLift
192,BackhandLift
193,BackhandLift
194,BackhandLift
195,BackhandLift
196,BackhandLift
197,ForehandLift
198,ForehandLift
