Frame,Player 1 Speed,Player 2 Speed,Avg P1 Speed,Avg P2 Speed
1,,,,
2,0.0,0.0,0.0,0.0
3,174.92855684535903,87.46427842267951,305.9411708155671,152.97058540778355
4,182.4828759089466,119.1371442514352,150.0,151.9803902718557
5,873.6131867136622,307.75615486699195,778.2673062643709,308.5521192699845
6,0.0,246.20492389359356,0.0,246.84169541598757
7,331.36083051561786,260.39757499726426,543.3231082882451,296.2552642280305
8,0.0,223.19792142622651,0.0,253.93308362402612
9,0.0,195.2981812479482,30.0,225.94144817102287
10,752.3961722390673,257.1979580247392,2081.273648514294,432.08947043138636
11,0.0,231.4781622222653,0.0,388.88052338824775
12,812.219182240853,284.2728004057733,362.49137920783716,386.48151028093764
13,0.0,260.5834003719588,0.0,354.27471775752616
14,30.0,242.846215727962,0.0,327.0228163915626
15,764.8529270389178,280.1324093930303,1636.8567438844489,420.5823826410545
16,0.0,261.4569154334949,0.0,392.54355713165086
17,1292.439553712281,325.89333032591907,1209.3386622447824,443.5932512012216
18,0.0,306.7231344243944,0.0,417.4995305423262
19,0.0,289.6829602897058,0.0,394.3051121788637
20,0.0,274.4364886955108,0.0,373.55221153787085
21,849.0583018850944,303.16757935499,818.8406438373709,395.81663315284584
22,764.8529270389178,325.15259591136754,241.86773244895647,388.48573311932734
23,818.8406438373709,347.5929617261858,342.05262752974136,386.3751374107098
24,0.0,332.4802242598299,0.0,369.5762183928528
25,785.175139698144,351.34251240309294,152.97058540778355,360.55098368514155
26,0.0,337.2888119069692,0.0,346.1289443377359
27,1838.8311504866347,395.0404403138794,108.16653826391968,336.9765441041276
28,424.26406871192853,396.12279692121456,0.0,324.4959313595303
29,825.4089895318563,411.4544466573089,94.86832980505139,316.29494558972743
30,1544.34452114805,450.51962163974827,94.86832980505139,308.6595450454283
31,0.0,435.5023009184233,0.0,298.37089354391395
32,361.2478373637689,433.10699564246676,201.24611797498108,295.2378362674968
33,0.0,419.57240202863966,0.0,286.01165388413756
34,721.2489168102785,428.7141145977802,169.7056274847714,282.48722884173253
35,947.2592042308166,443.96544076345776,379.47331922020555,285.3397609116876
36,0.0,431.28071388450184,0.0,277.18719631421084
37,182.4828759089466,424.3696628296253,127.27922061357854,273.02308587808216
38,0.0,412.90021248287866,0.0,265.6440835570529
39,180.0,406.77125952280295,408.0441152620633,269.39145281244794
40,1080.0,424.0335349196541,711.1961754677818,280.71977903437954
41,30.0,414.18269654666284,0.0,273.70178455852
42,445.9820624195552,414.9582908362456,408.0441152620633,276.97842677080155
43,0.0,405.0783315306207,0.0,270.3837023238777
44,0.0,395.6579052159551,42.42640687119285,265.0823698714897
45,108.16653826391968,389.12401051249975,366.1966684720111,267.3804221124106
46,0.0,380.4768102788886,0.0,261.43863495435704
47,42.42640687119285,373.1278884656778,84.8528137423857,257.59981275409683
48,84.8528137423857,366.99437623752266,67.0820393249937,253.5462431066691
49,0.0,359.3486600659076,30.0,248.8890297086135
50,582.494635168428,363.90265955779574,42.42640687119285,244.67550679356407
51,0.0,356.62460636663985,0.0,239.7819966576928
52,948.6832980505138,368.2336003212256,323.10988842807024,241.41587688848452
53,0.0,361.1521849304328,0.0,236.77326387139829
54,60.0,355.47006823363216,0.0,232.30584379835304
55,1065.3168542738822,368.61537908622944,1501.1995203836166,255.80387484622827
56,0.0,361.9132812846616,0.0,251.15289530356958
57,0.0,355.45054411886406,0.0,246.66802217314873
58,646.2197768561405,360.55175872829,1292.439553712281,265.01489114751945
59,67.0820393249937,355.4919359799573,241.86773244895647,264.6158022044408
60,381.8376618407357,355.9384737064111,1768.219443394965,290.1006096822463
61,0.0,350.0061658113043,1770.2542190318316,314.7698365047393
62,0.0,344.2683598143977,30.0,310.1014785292518
63,218.40329667841556,342.238278150914,1712.3667831396403,332.71866086167745
64,300.0,341.56782929137574,1578.923684032892,352.49969297550626
65,152.97058540778355,338.6209973556946,394.58839313897715,353.1573289155605
66,0.0,333.4114435502224,0.0,347.7241392399365
67,123.69316876852982,330.2338939323179,313.20919526731655,347.2011855433817
