Frame,Shot_Type
1,Net Shot
2,Net Shot
4,Drop Shot
5,Drop Shot
6,Drop Shot
7,Drop Shot
8,Drop Shot
9,Drop Shot
10,Drop Shot
11,Drop Shot
12,Drop Shot
13,Drop Shot
14,Drop Shot
15,Smash
16,Smash
17,Smash
17,Drop Shot
18,Smash
18,Drop Shot
19,Smash
19,Drop Shot
20,Smash
20,Drop Shot
21,Drop Shot
21,Smash
22,Drop Shot
23,Drop Shot
24,Drop Shot
25,Drop Shot
26,Drop Shot
27,Drop Shot
28,Drop Shot
29,Drop Shot
30,Drop Shot
31,Drop Shot
55,Drop Shot
56,Drop Shot
57,Drop Shot
58,Drop Shot
59,Drop Shot
60,Drop Shot
61,Drop Shot
62,Drop Shot
63,Drop Shot
64,Drop Shot
65,Drop Shot
66,Drop Shot
67,Net Shot
68,Net Shot
69,Net Shot
69,Overhead defensive clear
70,Net Shot
71,Net Shot
72,Drop Shot
72,Net Shot
73,Drop Shot
73,Net Shot
74,Drop Shot
74,Net Shot
75,Drop Shot
76,Drop Shot
77,Drop Shot
78,Drop Shot
79,Drop Shot
80,Drop Shot
81,Drop Shot
82,Drop Shot
83,Drop Shot
84,Drop Shot
105,Drop Shot
106,Drop Shot
107,Drop Shot
108,Drop Shot
109,Drop Shot
110,Drop Shot
111,Drop Shot
115,Drop Shot
116,Drop Shot
117,Drop Shot
118,Drop Shot
119,Drop Shot
120,Drop Shot
121,Drop Shot
122,Drop Shot
122,Smash
123,Drop Shot
123,Smash
124,Drop Shot
124,Smash
125,Drop Shot
126,Drop Shot
127,Drop Shot
128,Drop Shot
129,Drop Shot
130,Smash
131,Smash
132,Smash
133,Smash
134,Smash
135,Smash
136,Smash
137,Drop Shot
138,Drop Shot
139,Drop Shot
140,Drop Shot
141,Drop Shot
157,Drop Shot
158,Drop Shot
159,Drop Shot
175,Drop Shot
176,Drop Shot
177,Drop Shot
178,Drop Shot
179,Drop Shot
180,Drop Shot
181,Drop Shot
182,Drop Shot
183,Drop Shot
184,Drop Shot
185,Drop Shot
186,Drop Shot
187,Drop Shot
188,Drop Shot
219,Drop Shot
220,Drop Shot
221,Drop Shot
222,Drop Shot
223,Drop Shot
224,Drop Shot
225,Drop Shot
226,Drop Shot
227,Drop Shot
227,Net Shot
228,Drop Shot
228,Net Shot
229,Drop Shot
229,Net Shot
230,Drop Shot
230,Net Shot
231,Drop Shot
231,Net Shot
235,Net Shot
236,Net Shot
237,Net Shot
238,Net Shot
239,Net Shot
240,Net Shot
241,Net Shot
242,Net Shot
243,Net Shot
261,Net Shot
262,Net Shot
263,Net Shot
264,Net Shot
302,Net Shot
303,Net Shot
304,Net Shot
305,Net Shot
306,Net Shot
307,Net Shot
308,Net Shot
309,Net Shot
310,Net Shot
311,Net Shot
312,Net Shot
313,Net Shot
314,Net Shot
315,Net Shot
316,Net Shot
317,Net Shot
318,Net Shot
319,Net Shot
320,Net Shot
321,Net Shot
322,Net Shot
323,Net Shot
324,Net Shot
325,Net Shot
326,Net Shot
